genus	auth	date	form
Acarospora	A. Massal.	1852	crustose
Athallia	Arup, Frödén & Søchting	2013	crustose
Candelaria	A. Massal.	1852	foliose
Candelariella	Müll. Arg.	1894	crustose
Chrysothrix	Mont.	1852	crustose
Cladonia	P. Browne	1756	squamulose/fruticose
Flavoparmelia	Hale	1986	foliose
Flavopunctelia	(Krog) Hale	1984	foliose
Graphis	Adans.	1763	crustose
Lecanora	Ach.	1809	crustose
Leimonis	R.C. Harris	2009	crustose
Lepraria	Ach.	1803	leprose
Melanelixia	O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch	2004	foliose
Multiclavula	R.H. Petersen	1967	nonlichen
Myelochroa	(Asahina) Elix & Hale	1987	foliose
Myriolecis	Clements	1909	crustose
Parmelia	Ach.	1803	foliose
Parmotrema	A. Massal.	1860	foliose
Peltigera	Willd.	1787	foliose
Phaeophyscia	Moberg	1977	foliose
Physcia	(Schreb.) Michx.	1803	foliose
Physciella	Essl.	1986	foliose
Porpidia	Körb.	1855	crustose
Punctelia	Krog	1982	foliose
Rinodina	(Ach.) Gray	1821	crustose
Sarcogyne	Flot.	1851	crustose
Trapelia	M. Choisy	1929	crustose
Usnea	Dill. ex Adans.	1763	fruticose
Usnocetraria	M. J. Lai & C. J. Wei	2007	foliose
Xanthocarpia	A. Massal. & De Not.	1853	crustose
Xanthomendoza	S.Y. Kondr. & Kärnefelt	1997	foliose
Xanthoparmelia	(Vain.) Hale	1974	foliose
Xanthoria	(Fr.) Th. Fr.	1861	foliose
