name	id	boro
Alley Pond Park	AP	QU
Bayside	BS	QU
Bush Terminal	BT	BK
Bushwick	BW	BK
Central Park	CP	MA
Cunningham Park	CH	QU
Douglaston	DT	QU
Glendale	GD	QU
Green-Wood Cemetery	GW	BK
Heffernan Triangle	HT	BK
High Line	HL	MA
High Rock Park	HR	SI
Inwood Hill Park	IH	MA
Jamaica Estates	JE	QU
Kensington	KE	BK
Little Neck Bay	LN	QU
Manhattan Beach	MB	BK
New York Botanical Garden	NY	BX
Prospect Park	PP	BK
Queens Village	QV	QU
Rego Park	RP	QU
Ridgewood	RW	QU
Ridgewood Reservoir	RR	QU
Sunset Park	SP	BK
Van Cortlandt Park	VC	BX
Whitestone	WS	QU
Woodlawn Cemetery	WC	BX
