genus	species	auth	syn	eol
Acarospora	fuscata	(Nyl.) Th. Fr.		26994208
Allocetraria	oakesiana	(Tuck.) Randlane & A. Thell		
Athallia	holocarpa	(Hoffm.) Arup, Frödén & Søchting	Caloplaca holocarpa	30103785
Candelaria	concolor	(Dicks.) Arnold		26748358
Candelaria	concolor var. effusa	Tuck.		
Candelariella	efflorescens	R.C. Harris & W.R. Buck		27383116
Chrysothrix	caesia	(Flot.) Ertz & Tehler	Arthonia caesia	
Cladonia	apodocarpa	Robbins		26595315
Cladonia	caespiticia	(Pers.) Flörke		1994625
Cladonia	chlorophaea	(Flörke ex Sommerf.) Spreng.		26994248
Cladonia	coniocraea	(Flörke) Spreng.		27793788
Cladonia	conista	(Ach.) Robbins		
Cladonia	cristatella	Tuck.		31469877
Cladonia	cristatella f. squamosissima	Robbins ex A. Evans		
Cladonia	mateocyatha	Robbins		
Cladonia	peziziformis	(With.) J.R. Laundon		26595491
Cladonia	polycarpoides	Nyl.		27793773
Cladonia	ramulosa	(With.) J.R. Laundon		19154355
Cladonia	rei	Schaer.		
Cladonia	subcariosa	Nyl.		1994647
Flavoparmelia	baltimorensis	(Gyeln. & Fóriss) Hale		
Flavoparmelia	caperata	(L.) Hale		
Flavopunctelia	soredica	(Nyl.) Hale		
Graphis	scripta	(L.) Ach.		
Lecanora	caesiorubella	Ach.		
Lecanora	dispersa	(Pers.) Röhl.		
Lecanora	strobilina	(Spreng.) Kieff.		
Leimonis	erratica	(Körb.) R.C. Harris & Lendemer	Micarea erratica	
Lepraria	caesiella	R.C. Harris		
Lepraria	lobificans	Nyl.	Lepraria finkii	
Melanelixia	subaurifera	(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch		
Myelochroa	aurulenta	(Tuck.) Elix & Hale		
Oxneria	fallax	(Arnold) S.Y. Kondr. & Kärnefelt	Xanthomendoza fallax, Xanthoria fallax	
Parmelia	sulcata	Taylor		
Parmotrema	hypoleucinum	(J. Steiner) Hale		
Parmotrema	hypotropum	(Nyl.) Hale		
Parmotrema	perlatum	(Huds.) M. Choisy		
Parmotrema	stuppeum	(Taylor) Hale		
Peltigera	canina	(L.) Willd.		
Phaeophyscia	adiastola	(Essl.) Essl.		
Phaeophyscia	insignis	(Mereschk.) Moberg		
Phaeophyscia	orbicularis	(Neck.) Moberg		
Phaeophyscia	rubropulchra	(Degel.) Moberg		
Physcia	adscendens	(Fr.) H. Olivier		
Physcia	dubia	(Hoffm.) Lettau		
Physcia	millegrana	Degel.		
Physcia	stellaris	(L.) Nyl.		
Physciella	chloantha	(Ach.) Essl.		
Porpidia	albocaerulescens	(Wulfen) Hertel & Knoph		
Porpidia	crustulata	(Ach.) Hertel & Knoph		
Punctelia	caseana	Lendemer & Hodkinson		
Punctelia	rudecta	(Ach.) Krog		
Rinodina	glauca	Ropin		
Sarcogyne	clavus	(DC.) Kremp.		
Trapelia	coarctata	(Turner ex Sm.) M. Choisy		
Trapelia	placodioides	Coppins & P. James		
Xanthocarpia	feracissima	(H. Magn.) Frödén, Arup & Søchting	Caloplaca feracissima	
Xanthoparmelia	plittii	(Gyeln.) Hale		
Xanthoria	parietina	(L.) Beltr.		
